"Date","Minutes","Seconds","Distance"
"9/5/2023",32,57,3.1
"9/4/2023",33,25,3.23
"9/3/2023",36,58,3.5
"9/1/2023",53,55,5.05
"8/30/2023",NA,NA,3.47
"8/29/2023",NA,NA,4.02
"8/28/2023",NA,NA,2.83
"8/25/2023",NA,NA,3.9
"8/24/2023",NA,NA,3.87
"8/22/2023",NA,NA,4.01
"8/21/2023",NA,NA,3.89
"8/18/2023",NA,NA,3.83
"8/17/2023",NA,NA,3.74
"8/15/2023",NA,NA,3.46
"8/14/2023",NA,NA,3.42
"8/4/2023",NA,NA,2.88
"9/7/2023",NA,NA,2.25
"09/08/2023",NA,NA,3
